Target,Source
dealership_id,DealerId
vin,VIN
mileage,Mileage
is_new,New/Used
stock_number,Stock
dealer_year,Year
dealer_make,Make
dealer_model,Model
dealer_trim,Trim
dealer_model_number,Model Code
dealer_msrp,MSRP
dealer_invoice,Invoice
dealer_body,N/A
dealer_inventory_entry_date,Inventory Date
dealer_exterior_color_description,Exterior Color
dealer_interior_color_description,N/A
dealer_exterior_color_code,Exterior Color Code
dealer_interior_color_code,Interior Color Code
dealer_transmission_name,Transmission
dealer_transmission_type,N/A
dealer_installed_option_codes,Option Codes
dealer_installed_option_descriptions,Options
dealer_additional_specs,N/A
dealer_doors,N/A
dealer_drive_type,N/A
dealer_images,Photos
dealer_certified,Certified
